IPC,ÊýÁ¿
A01K67/00,419
A01K69/00,391
A01K7/00,2253
A01K71/00,217
A01K73/00,97
A01K74/00,706
A01K75/00,605
A01K77/00,771
A01K79/00,1195
A01K80/00,1140
A01K81/00,66
A01K83/00,1287
A01K85/00,511
A01K87/00,1973
A01K89/00,1339
A01K9/00,719
A01K91/00,272
A01K93/00,1074
A01K95/00,523
A01K97/00,1621
A01K99/00,70
A01L1/00,20
A01L11/00,42
A01L13/00,2
A01L15/00,31
A01L3/00,8
A01L5/00,6
A01L7/00,1
A01L9/00,7
A01M1/00,1242
A01M11/00,178
A01M13/00,4855
A01M15/00,56
A01M17/00,1538
A01M19/00,258
A01M21/00,234
A01M23/00,650
A01M25/00,423
A01M27/00,223
A01M29/00,1134
A01M29/02,127
A01M29/04,12
A01M3/00,1019
A01M31/00,185
A01M5/00,228
A01M7/00,24076
A01M9/00,622
A01M99/00,606
A01N1/00,1457
A01N25/00,1965
A01N27/00,1275
A01N29/00,40
A01N3/00,1907
A01N31/00,177
A01N33/00,67
A01N35/00,97
A01N37/00,299
A01N39/00,59
A01N41/00,188
A01N43/00,301
A01N45/00,982
A01N47/00,64
A01N49/00,313
A01N51/00,3432
A01N53/00,954
A01N55/00,279
A01N57/00,253
A01N59/00,4919
A01N61/00,3303
A01N63/00,6343
A01N65/00,2823
A01N65/02,68
A01P1/00,23823
A01P11/00,290
A01P13/00,12015
A01P15/00,292
A01P17/00,4045
A01P19/00,1975
A01P21/00,13940
A01P23/00,96
A01P3/00,34089
A01P5/00,3357
A01P7/00,4015
A01P9/00,594
A21B1/00,514
A21B2/00,243
A21B3/00,2002
A21B5/00,939
A21B7/00,822
A21C1/00,457
A21C11/00,1869
A21C13/00,762
A21C14/00,503
A21C15/00,1137
A21C3/00,73
A21C5/00,688
A21C7/00,43
A21C9/00,526
A21D10/00,415
A21D13/00,3374
A21D15/00,276
A21D17/00,31
A21D2/00,276
A21D4/00,6
A21D6/00,289
A21D8/00,44
A22B1/00,145
A22B3/00,162
A22B5/00,565
A22B7/00,495
A22C11/00,440
A22C13/00,753
A22C15/00,293
A22C17/00,2762
A22C18/00,84
A22C21/00,1825
A22C25/00,1345
A22C29/00,891
A22C5/00,687
A22C7/00,1029
A22C9/00,665
A23B4/00,1073
A23B5/00,168
A23B7/00,2874
A23B9/00,335
A23C1/00,97
A23C11/00,167
A23C13/00,125
A23C15/00,31
A23C17/00,90
A23C19/00,365
A23C20/00,136
A23C21/00,168
A23C23/00,62
A23C3/00,253
A23C7/00,277
A23C9/00,406
A23D7/00,821
A23D9/00,3770
A23F3/00,485
A23F5/00,198
A23G1/00,629
A23G3/00,1507
A23G3/30,453
A23G4/00,192
A23G7/00,170
A23G9/00,197
A23G9/02,372
A23J1/00,843
A23J3/00,207
A23J7/00,226
A23K1/00,6798
A23K3/00,142
A23L1/00,2355
A23L2/00,1210
A23L3/00,2489
A23N1/00,1005
A23N11/00,2
A23N12/00,508
A23N15/00,2728
A23N17/00,18883
A23N3/00,28
A23N4/00,134
A23N5/00,4073
A23N7/00,2460
A23P1/00,1588
A24B1/00,95
A24B11/00,2
A24B13/00,527
A24B15/00,236
A24B3/00,785
A24B5/00,356
A24B7/00,649
A24B9/00,236
A24C1/00,37
A24C3/00,12
A24C5/00,1840
A24D1/00,733
A24D3/00,169
A24F1/00,242
A24F11/00,2
A24F13/00,454
A24F15/00,321
A24F17/00,19
A24F19/00,1479
A24F21/00,19
A24F23/00,57
A24F25/00,104
A24F27/00,109
A24F29/00,17
A24F3/00,39
A24F47/00,15890
A24F5/00,68
A24F7/00,114
A24F9/00,17
A41B1/00,1061
A41B11/00,4612
A41B13/00,483
A41B15/00,93
A41B17/00,5131
A41B3/00,264
A41B5/00,7
A41B7/00,88
A41B9/00,1925
A41C1/00,706
A41C3/00,4274
A41C5/00,876
A41D1/00,6462
A41D10/00,389
A41D11/00,2485
A41D13/00,11977
A41D15/00,1418
A41D17/00,184
A41D19/00,3519
A41D20/00,92
A41D23/00,1065
A41D25/00,334
A41D27/00,16236
A41D29/00,713
A41D3/00,2499
A41D31/00,7554
A41D5/00,207
A41D7/00,1121
A41F1/00,634
A41F11/00,16
A41F13/00,7
A41F15/00,165
A41F17/00,123
A41F18/00,13
A41F19/00,20
A41F3/00,100
A41F5/00,11
A41F7/00,1
A41F9/00,2305
A41G1/00,1480
A41G11/00,26
A41G3/00,1399
A41G5/00,273
A41G7/00,74
A41G9/00,69
A41H1/00,569
A41H11/00,79
A41H15/00,51
A41H17/00,17
A41H19/00,105
A41H21/00,16
A41H23/00,83
A41H25/00,217
A41H27/00,26
A41H3/00,968
A41H31/00,424
A41H33/00,100
A41H37/00,513
A41H41/00,50
A41H42/00,900
A41H43/00,1989
A41H5/00,160
A41H9/00,85
A42B1/00,1067
A42B3/00,1143
A42B5/00,30
A42B7/00,142
A42C1/00,218
A42C2/00,80
A42C3/00,35
A42C5/00,139
A43B1/00,842
A43B11/00,548
A43B13/00,778
A43B15/00,117
A43B17/00,6177
A43B19/00,136
A43B21/00,99
A43B23/00,1293
A43B3/00,7804
A43B5/00,3344
A43B7/00,3467
A43B9/00,990
A43C1/00,421
A43C11/00,956
A43C13/00,73
A43C15/00,167
A43C17/00,3
A43C19/00,118
A43C3/00,62
A43C5/00,126
A43C7/00,318
A43C9/00,512
A43D1/00,92
A43D100/00,43
A43D11/00,344
A43D111/00,468
A43D113/00,5
A43D115/00,6
A43D117/00,566
A43D119/00,199
A43D13/00,19
A43D15/00,51
A43D17/00,2
A43D19/00,10
A43D21/00,107
A43D23/00,97
A43D25/00,505
A43D27/00,25
A43D29/00,22
A43D3/00,183
A43D31/00,19
A43D33/00,8
A43D35/00,349
A43D37/00,180
A43D39/00,12
A43D43/00,85
A43D44/00,37
A43D47/00,13
A43D49/00,79
A43D5/00,71
A43D51/00,60
A43D53/00,4
A43D55/00,29
A43D57/00,2
A43D59/00,3
A43D61/00,15
A43D63/00,25
A43D67/00,24
A43D69/00,88
A43D71/00,30
A43D75/00,2
A43D79/00,21
A43D8/00,757
A43D81/00,2
A43D83/00,25
A43D85/00,9
A43D86/00,100
A43D87/00,15
A43D89/00,7
A43D9/00,188
A43D91/00,1
A43D93/00,2
A43D95/00,253
A43D97/00,1
A43D98/00,40
A43D99/00,5
A43D999/00,23
A44B1/00,236
A44B11/00,1299
A44B13/00,321
A44B15/00,2050
A44B17/00,640
A44B18/00,1256
A44B19/00,893
A44B21/00,218
A44B3/00,6
A44B5/00,30
A44B6/00,131
A44B7/00,9
A44B9/00,40
A44B99/00,111
A44C1/00,287
A44C11/00,1839
A44C13/00,114
A44C15/00,257
A44C17/00,1033
A44C19/00,17
A44C21/00,210
A44C23/00,109
A44C25/00,2926
A44C27/00,2525
A44C3/00,784
A44C5/00,6893
A44C7/00,790
A44C9/00,1994
A45B1/00,520
A45B11/00,3648
A45B13/00,15
A45B15/00,237
A45B17/00,336
A45B19/00,598
A45B21/00,235
A45B23/00,2446
A45B25/00,5111
A45B27/00,834
A45B3/00,5127
A45B5/00,845
A45B7/00,1041
A45B9/00,1810
A45C1/00,236
A45C11/00,7746
A45C13/00,16966
A45C15/00,10164
A45C3/00,3794
A45C5/00,934
A45C5/10,15
A45C5/12,44
A45C7/00,3250
A45C9/00,3173
A45D1/00,277
A45D19/00,1479
A45D2/00,801
A45D20/00,212
A45D24/00,527
A45D26/00,609
A45D27/00,100
A45D29/00,984
A45D31/00,425
A45D33/00,1322
A45D34/00,3268
A45D37/00,55
A45D4/00,67
A45D40/00,1910
A45D42/00,281
A45D44/00,1598
A45D6/00,657
A45D7/00,71
A45D8/00,315
A45D97/00,17
A45F3/00,1942
A45F4/00,341
A45F5/00,624
A46B1/00,156
A46B11/00,1910
A46B13/00,253
A46B15/00,7101
A46B17/00,1403
A46B3/00,617
A46B5/00,10769
A46B7/00,1435
A46B9/00,498
A46D1/00,1378
A46D3/00,440
A46D5/00,4
A46D7/00,40
A46D9/00,93
A46D99/00,1
A47B1/00,463
A47B11/00,2532
A47B13/00,8188
A47B17/00,2224
A47B19/00,1895
A47B21/00,4923
A47B23/00,2414
A47B25/00,2290
A47B27/00,1494
A47B29/00,16
A47B3/00,2501
A47B31/00,8104
A47B33/00,222
A47B35/00,42
A47B37/00,4019
A47B39/00,1146
A47B41/00,7292
A47B43/00,1741
A47B45/00,1848
A47B46/00,954
A47B47/00,5499
A47B49/00,3073
A47B5/00,326
A47B51/00,1339
A47B53/00,1454
A47B55/00,935
A47B57/00,438
A47B61/00,6957
A47B63/00,14276
A47B65/00,4649
A47B67/00,1037
A47B69/00,672
A47B7/00,380
A47B71/00,440
A47B73/00,964
A47B75/00,82
A47B77/00,1603
A47B79/00,1607
A47B81/00,9997
A47B83/00,2258
A47B85/00,1042
A47B87/00,2054
A47B88/00,2072
A47B9/00,4795
A47B91/00,2112
A47B95/00,3076
A47B96/00,8015
A47B97/00,16334
A47C1/00,3244
A47C11/00,613
A47C12/00,250
A47C13/00,2492
A47C15/00,238
A47C16/00,730
A47C17/00,4541
A47C19/00,2605
A47C20/00,1022
A47C21/00,2543
A47C23/00,551
A47C25/00,25
A47C27/00,8040
A47C29/00,3403
A47C3/00,4147
A47C31/00,4151
A47C4/00,2247
A47C5/00,1184
A47C7/00,11426
A47C9/00,2979
A47D1/00,2726
A47D11/00,1151
A47D13/00,1134
A47D15/00,3587
A47D3/00,757
A47D5/00,32
A47D7/00,2601
A47D9/00,992
A47F1/00,413
A47F10/00,371
A47F11/00,2075
A47F13/00,370
A47F3/00,4735
A47F5/00,8098
A47F7/00,9365
A47F8/00,249
A47F9/00,616
A47G1/00,834
A47G11/00,803
A47G19/00,868
A47G21/00,2770
A47G23/00,1748
A47G25/00,1918
A47G27/00,66
A47G29/00,2653
A47G3/00,10
A47G33/00,2458
A47G35/00,292
A47G5/00,1973
A47G7/00,125
A47G9/00,6973
A47H1/00,309
A47H11/00,113
A47H13/00,206
A47H15/00,86
A47H19/00,101
A47H2/00,168
A47H21/00,41
A47H23/00,839
A47H27/00,50
A47H3/00,107
A47H33/00,18
A47H5/00,268
A47H7/00,31
A47H99/00,6
A47J17/00,258
A47J19/00,2749
A47J21/00,32
A47J23/00,421
A47J25/00,133
A47J27/00,32140
A47J29/00,188
A47J31/00,17638
A47J33/00,152
A47J36/00,26814
A47J37/00,1290
A47J39/00,245
A47J41/00,2286
A47J42/00,97
A47J43/00,1479
A47J44/00,975
A47J45/00,126
A47J47/00,6025
A47J9/00,9
A47K1/00,251
A47K10/00,274
A47K11/00,1508
A47K13/00,1928
A47K17/00,558
A47K3/00,2168
A47K4/00,412
A47K5/00,1489
A47K7/00,776
A47L1/00,662
A47L11/00,1633
A47L13/00,274
A47L15/00,6383
A47L17/00,1494
A47L19/00,568
A47L21/00,3
A47L23/00,473
A47L25/00,1692
A47L3/00,184
A47L4/00,404
A47L5/00,1104
A47L7/00,2382
A47L9/00,9535
A61B1/00,12992
A61B10/00,8891
A61B13/00,908
A61B16/00,357
A61B17/00,15152
A61B18/00,2140
A61B19/00,15548
A61B3/00,1470
A61B5/00,40123
A61B6/00,12975
A61B7/00,543
A61B8/00,15239
A61B9/00,2020
A61C1/00,353
A61C11/00,237
A61C13/00,1290
A61C15/00,494
A61C17/00,1159
A61C19/00,2162
A61C3/00,868
A61C5/00,293
A61C7/00,2090
A61C8/00,4916
A61C9/00,757
A61D1/00,2151
A61D11/00,451
A61D13/00,14
A61D15/00,398
A61D17/00,97
A61D19/00,375
A61D3/00,6648
A61D5/00,64
A61D7/00,5340
A61D9/00,65
A61D99/00,119
A61F11/00,3188
A61F13/00,3739
A61F15/00,1446
A61F17/00,2637
A61F2/00,2121
A61F3/00,33
A61F4/00,251
A61F5/00,6886
A61F6/00,140
A61F7/00,16544
A61F9/00,11252
A61G1/00,2280
A61G10/00,768
A61G11/00,1337
A61G12/00,21036
A61G13/00,6541
A61G15/00,1279
A61G17/00,948
A61G19/00,58
A61G21/00,64
A61G3/00,1168
A61G5/00,5256
A61G7/00,11386
A61G9/00,3676
A61G99/00,95
A61H1/00,9983
A61H11/00,1277
A61H13/00,612
A61H15/00,17818
A61H19/00,1841
A61H21/00,658
A61H23/00,2853
A61H3/00,3874
A61H31/00,1727
A61H33/00,2207
A61H35/00,3177
A61H36/00,12
A61H37/00,699
A61H39/00,3871
A61H5/00,2501
A61H7/00,17324
A61H9/00,8883
A61H99/00,95
A61J1/00,5325
A61J11/00,675
A61J13/00,81
A61J15/00,4398
A61J17/00,383
A61J19/00,1902
A61J3/00,11547
A61J7/00,5818
A61J9/00,3587
A61K101/00,116
A61K103/00,197
A61K125/00,4119
A61K127/00,2934
A61K129/00,383
A61K131/00,3059
A61K133/00,1073
A61K135/00,1191
A61K31/00,1732
A61K33/00,4751
A61K35/00,640
A61K35/70,125
A61K35/72,105
A61K35/78,35410
A61K35/80,193
A61K35/82,4
A61K35/84,1917
A61K36/00,2977
A61K38/00,4097
A61K39/00,6955
A61K41/00,5093
A61K45/00,8939
A61K47/00,737
A61K48/00,13804
A61K49/00,5969
A61K50/00,80
A61K51/00,764
A61K6/00,856
A61K7/00,816
A61K7/02,773
A61K7/021,109
A61K7/025,120
A61K7/027,121
A61K7/031,41
A61K7/032,148
A61K7/035,104
A61K7/04,177
A61K7/043,85
A61K7/047,6
A61K7/06,1513
A61K7/07,500
A61K7/075,497
A61K7/08,59
A61K7/09,73
A61K7/11,193
A61K7/13,577
A61K7/135,86
A61K7/15,35
A61K7/155,13
A61K7/16,813
A61K7/18,89
A61K7/20,65
A61K7/22,35
A61K7/24,15
A61K7/26,235
A61K7/28,48
A61K7/30,15
A61K7/32,379
A61K7/34,21
A61K7/36,16
A61K7/38,50
A61K7/40,272
A61K7/42,442
A61K7/44,20
A61K7/46,213
A61K7/48,3015
A61K7/50,1110
A61K8/00,564
A61K9/00,17811
A61L101/00,34
A61L11/00,2285
A61L12/00,35
A61L15/00,690
A61L17/00,440
A61L2/00,2287
A61L24/00,1487
A61L26/00,1580
A61L27/00,1448
A61L28/00,40
A61L29/00,225
A61L31/00,992
A61L33/00,321
A61L9/00,4342
A61M1/00,31173
A61M11/00,7607
A61M13/00,361
A61M15/00,4543
A61M16/00,16152
A61M19/00,2207
A61M21/00,2512
A61M23/00,29
A61M25/00,9129
A61M27/00,4437
A61M29/00,2819
A61M3/00,383
A61M31/00,15815
A61M35/00,14513
A61M36/00,179
A61M37/00,21878
A61M39/00,1997
A61M5/00,4426
A61M9/00,23
A61M99/00,3
A61N1/00,1698
A61N2/00,2364
A61N5/00,4120
A61N7/00,3246
A61P1/00,19948
A61P11/00,27500
A61P13/00,3282
A61P15/00,21681
A61P17/00,33380
A61P19/00,4386
A61P21/00,4536
A61P23/00,837
A61P25/00,25478
A61P27/00,423
A61P29/00,70955
A61P3/00,5295
A61P31/00,11997
A61P33/00,1901
A61P35/00,111349
A61P37/00,6365
A61P39/00,9885
A61P41/00,554
A61P43/00,14934
A61P5/00,1560
A61P7/00,7261
A61P9/00,19914
A61Q1/00,919
A61Q11/00,7646
A61Q13/00,1776
A61Q15/00,1653
A61Q17/00,6418
A61Q19/00,42050
A61Q3/00,160
A61Q5/00,3486
A61Q7/00,1908
A61Q9/00,66
A61Q90/00,45
A61Q99/00,10
A62B1/00,920
A62B11/00,148
A62B13/00,71
A62B15/00,109
A62B17/00,1071
A62B18/00,318
A62B19/00,112
A62B21/00,214
A62B23/00,264
A62B25/00,190
A62B27/00,114
A62B29/00,71
A62B3/00,2621
A62B31/00,717
A62B33/00,84
A62B35/00,4197
A62B37/00,206
A62B5/00,365
A62B7/00,1262
A62B9/00,1844
A62B99/00,1255
A62C11/00,60
A62C13/00,659
A62C15/00,275
A62C17/00,203
A62C19/00,1364
A62C2/00,293
A62C25/00,108
A62C27/00,5742
A62C29/00,54
A62C3/00,2312
A62C31/00,7475
A62C33/00,620
A62C35/00,432
A62C37/00,6571
A62C39/00,241
A62C4/00,285
A62C5/00,473
A62C8/00,926
A62C99/00,815
A62D1/00,1134
A62D101/00,3
A62D3/00,738
A62D5/00,75
A62D7/00,21
A62D9/00,51
A63B1/00,1363
A63B15/00,66
A63B17/00,709
A63B19/00,77
A63B21/00,4785
A63B22/00,3036
A63B23/00,1171
A63B24/00,4671
A63B25/00,255
A63B26/00,4071
A63B27/00,654
A63B29/00,168
A63B3/00,752
A63B31/00,317
A63B33/00,1369
A63B35/00,40
A63B37/00,449
A63B39/00,233
A63B4/00,108
A63B41/00,663
A63B43/00,1034
A63B45/00,743
A63B47/00,412
A63B49/00,414
A63B5/00,171
A63B51/00,200
A63B53/00,663
A63B55/00,499
A63B57/00,439
A63B59/00,435
A63B6/00,1533
A63B61/00,801
A63B63/00,841
A63B65/00,194
A63B67/00,367
A63B69/00,10312
A63B7/00,106
A63B71/00,2738
A63B9/00,774
A63C1/00,182
A63C10/00,16
A63C11/00,36
A63C13/00,49
A63C17/00,1801
A63C19/00,766
A63C3/00,56
A63C5/00,262
A63C7/00,14
A63C9/00,102
A63D1/00,37
A63D13/00,250
A63D15/00,1192
A63D3/00,87
A63D5/00,120
A63D9/00,18
A63F1/00,319
A63F11/00,214
A63F13/00,3027
A63F3/00,1773
A63F5/00,132
A63F7/00,487
A63F9/00,1575
A63G1/00,310
A63G11/00,685
A63G13/00,118
A63G15/00,41
A63G17/00,4
A63G19/00,182
A63G21/00,425
A63G23/00,356
A63G25/00,375
A63G27/00,296
A63G29/00,52
A63G3/00,76
A63G31/00,2445
A63G33/00,80
A63G4/00,59
A63G5/00,22
A63G7/00,176
A63G9/00,808
A63H1/00,1357
A63H11/00,573
A63H13/00,677
A63H15/00,84
A63H17/00,2935
A63H18/00,172
A63H19/00,53
A63H21/00,10
A63H23/00,101
A63H25/00,4
A63H27/00,955
A63H29/00,275
A63H3/00,1364
A63H30/00,418
A63H31/00,630
A63H33/00,5661
A63H37/00,185
A63H5/00,2417
A63H7/00,220
A63H9/00,755
A63J1/00,426
A63J11/00,177
A63J13/00,33
A63J15/00,10
A63J17/00,38
A63J19/00,262
A63J21/00,125
A63J23/00,23
A63J23/02,6
A63J25/00,878
A63J3/00,37
A63J5/00,266
A63J7/00,262
A63J9/00,11
A63J99/00,53
A63K1/00,18
A63K3/00,22
A63K99/00,4
A99Z99/00,404
B01B1/00,411
B01D1/00,7413
B01D11/00,1721
B01D12/00,105
B01D15/00,1225
B01D17/00,405
B01D19/00,4668
B01D21/00,2073
B01D24/00,862
B01D25/00,218
B01D27/00,183
B01D29/00,1404
B01D3/00,4130
B01D33/00,320
B01D35/00,4786
B01D36/00,8334
B01D37/00,574
B01D39/00,855
B01D41/00,518
B01D43/00,313
B01D45/00,450
B01D46/00,40348
B01D47/00,3623
B01D49/00,2328
B01D5/00,9055
B01D50/00,50029
B01D51/00,202
B01D53/00,15675
B01D57/00,57
B01D59/00,59
B01D61/00,3444
B01D63/00,1794
B01D65/00,881
B01D67/00,12826
B01D69/00,496
B01D7/00,387
B01D71/00,234
B01D8/00,271
B01D9/00,934
B01F1/00,5980
B01F11/00,13475
B01F13/00,5940
B01F15/00,66970
B01F17/00,1260
B01F5/00,2970
B01F7/00,10573
B01F9/00,1208
B01J10/00,1882
B01J12/00,419
B01J13/00,2600
B01J14/00,731
B01J15/00,99
B01J16/00,53
B01J19/00,21526
B01J2/00,2892
B01J20/00,314
B01J21/00,229
B01J23/00,885
B01J25/00,134
B01J27/00,102
B01J29/00,893
B01J3/00,1502
B01J31/00,281
B01J32/00,6176
B01J33/00,615
B01J35/00,2718
B01J37/00,3642
B01J38/00,575
B01J39/00,59
B01J39/06,4
B01J4/00,13339
B01J41/00,51
B01J41/06,6
B01J43/00,124
B01J45/00,199
B01J47/00,369
B01J49/00,874
B01J6/00,1485
B01J7/00,517
B01J8/00,2852
B01L1/00,4803
B01L11/00,291
B01L11/02,6
B01L3/00,13385
B01L5/00,53
B01L7/00,5194
B01L9/00,7916
B01L99/00,290
B02B1/00,124
B02B3/00,1588
B02B5/00,105
B02B7/00,2900
B02C1/00,4003
B02C11/00,715
B02C13/00,568
B02C15/00,3560
B02C17/00,1146
B02C18/00,2362
B02C18/40,170
B02C18/42,88
B02C18/44,82
B02C19/00,9371
B02C19/12,96
B02C19/14,5
B02C2/00,1560
B02C21/00,18284
B02C23/00,17646
B02C25/00,5904
B02C4/00,1236
B02C7/00,505
B02C9/00,475
B03B1/00,1371
B03B11/00,1446
B03B13/00,308
B03B4/00,100
B03B5/00,549
B03B7/00,5330
B03B9/00,1703
B03C1/00,1869
B03C11/00,36
B03C3/00,1010
B03C5/00,100
B03C7/00,214
B03C9/00,31
B03D1/00,3195
B03D101/00,237
B03D103/00,6
B03D3/00,19
B04B1/00,2273
B04B11/00,624
B04B13/00,949
B04B15/00,2441
B04B3/00,532
B04B5/00,1118
B04B7/00,2844
B04B9/00,250
B04C1/00,37
B04C11/00,665
B04C3/00,362
B04C5/00,1540
B04C7/00,175
B04C9/00,2274
B05B1/00,2098
B05B11/00,3555
B05B12/00,5000
B05B13/00,2010
B05B15/00,10591
B05B17/00,328
B05B3/00,169
B05B5/00,630
B05B7/00,644
B05B9/00,1786
B05C1/00,370
B05C11/00,6553
B05C13/00,2770
B05C15/00,1102
B05C17/00,2017
B05C19/00,652
B05C21/00,1072
B05C3/00,135
B05C5/00,6708
B05C7/00,351
B05C9/00,408
B05D1/00,844
B05D3/00,6047
B05D5/00,3651
B05D7/00,4089
B06B1/00,385
B06B3/00,374
B07B1/00,2229
B07B11/00,3115
B07B13/00,1765
B07B15/00,1551
B07B4/00,1396
B07B7/00,807
B07B9/00,11943
B07C1/00,107
B07C3/00,1306
B07C5/00,4481
B07C7/00,301
B07C9/00,8
B07C99/00,28
B08B1/00,34682
B08B11/00,1808
B08B13/00,58400
B08B15/00,8574
B08B17/00,285
B08B3/00,2914
B08B5/00,821
B08B6/00,1869
B08B7/00,7198
B08B9/00,641
B09B1/00,1287
B09B3/00,32228
B09B5/00,12898
B09C1/00,5848
B21B1/00,346
B21B11/00,36
B21B13/00,274
B21B15/00,2970
B21B17/00,115
B21B19/00,54
B21B21/00,115
B21B23/00,334
B21B25/00,748
B21B27/00,518
B21B28/00,1091
B21B29/00,504
B21B3/00,1677
B21B31/00,639
B21B33/00,966
B21B35/00,432
B21B37/00,2993
B21B38/00,2037
B21B39/00,773
B21B41/00,738
B21B43/00,753
B21B45/00,887
B21B47/00,426
B21B5/00,52
B21B9/00,383
B21B99/00,11
B21C1/00,958
B21C19/00,470
B21C23/00,1005
B21C25/00,456
B21C26/00,509
B21C27/00,176
B21C29/00,1528
B21C3/00,210
B21C31/00,1049
B21C33/00,619
B21C35/00,53
B21C37/00,550
B21C43/00,288
B21C45/00,65
B21C47/00,366
B21C49/00,140
B21C5/00,254
B21C51/00,12407
B21C9/00,2373
B21C99/00,23
B21D1/00,2763
B21D11/00,1531
B21D13/00,62
B21D15/00,119
B21D17/00,50
B21D19/00,2545
B21D21/00,622
B21D22/00,966
B21D24/00,338
B21D25/00,169
B21D26/00,95
B21D28/00,682
B21D3/00,3379
B21D31/00,1359
B21D33/00,522
B21D35/00,8116
B21D37/00,2296
B21D39/00,6246
B21D41/00,330
B21D43/00,28345
B21D45/00,2890
B21D47/00,229
B21D49/00,51
B21D5/00,4066
B21D51/00,94
B21D53/00,612
B21D55/00,6364
B21D7/00,2651
B21D9/00,270
B21F1/00,9868
B21F11/00,14163
B21F13/00,47
B21F15/00,408
B21F17/00,74
B21F19/00,51
B21F21/00,77
B21F23/00,6756
B21F25/00,9
B21F27/00,272
B21F29/00,23
B21F3/00,841
B21F31/00,325
B21F33/00,286
B21F35/00,2093
B21F37/00,410
B21F39/00,10
B21F41/00,4
B21F43/00,56
B21F45/00,621
B21F5/00,427
B21F7/00,354
B21F9/00,188
B21F99/00,183
B21G1/00,170
B21G3/00,221
B21G5/00,29
B21H1/00,176
B21H3/00,83
B21H5/00,203
B21H7/00,89
B21H8/00,108
B21H9/00,457
B21J1/00,304
B21J11/00,24
B21J13/00,2128
B21J15/00,208
B21J17/00,549
B21J19/00,18
B21J3/00,646
B21J5/00,2838
B21J7/00,35
B21J9/00,190
B21K1/00,66
B21K11/00,21
B21K13/00,16
B21K15/00,1
B21K17/00,12
B21K19/00,1
B21K21/00,81
B21K23/00,84
B21K25/00,86
B21K27/00,1384
B21K29/00,1430
